category,video
adult+female+speaking,getty-adult-female-friends-talking-on-sofa-in-garden-video-id481793966_5
adult+female+speaking,getty-adult-woman-teaching-to-her-daughters-in-the-park-delhi-india-video-id479902437_1
adult+female+speaking,getty-african-american-businesswoman-using-laptop-and-communicating-with-video-id849125420_14
adult+female+speaking,getty-architect-and-contractor-discussing-building-plans-in-office-video-id494896640_11
adult+female+speaking,getty-art-gallery-opening-video-id461953836_2
adult+female+speaking,getty-asian-business-woman-smiling-and-talking-to-colleague-video-id176785968_7
adult+female+speaking,getty-asian-mom-and-son-on-video-call-facetime-chatting-via-laptop-computer-video-id511502512_5
adult+female+speaking,getty-asian-young-woman-talking-on-the-phone-in-a-cafe-and-looking-at-the-video-id852539872_6
adult+female+speaking,getty-asian-young-woman-talking-on-the-phone-in-a-cafe-and-looking-at-the-video-id853737054_15
adult+female+speaking,getty-baby-and-mother-video-id163873323_9
adult+female+speaking,getty-beautiful-woman-enjoys-a-cup-of-coffee-with-her-friend-video-id847222562_6
adult+female+speaking,getty-bellamy-young-presents-to-kerry-washington-at-women-making-history-video-id848492662_178
adult+female+speaking,getty-brie-larson-on-film-being-the-medium-that-has-taught-her-how-to-be-a-video-id645343978_82
adult+female+speaking,getty-business-conference-video-id91833622_20
adult+female+speaking,getty-business-executives-talking-in-meeting-room-india-video-id151832387_6
adult+female+speaking,getty-business-meeting-video-id636147354_9
adult+female+speaking,getty-business-partners-discuss-sales-charts-and-paperwork-at-local-coffee-video-id681856478_1
adult+female+speaking,getty-business-partners-hard-at-work-video-id176784935_3
adult+female+speaking,getty-business-people-greeting-and-talking-at-conference-video-id474561826_12
adult+female+speaking,getty-business-people-sharing-digital-tablet-on-balcony-video-id474561802_2
adult+female+speaking,getty-business-professional-looks-at-a-document-and-becomes-overwhelmed-video-id682697917_15
adult+female+speaking,getty-business-team-brainstorming-while-developing-new-business-plan-in-of-video-id850689382_7
adult+female+speaking,getty-business-team-having-a-meeting-video-id494898822_4
adult+female+speaking,getty-businesspeople-seating-themselves-at-table-in-small-office-conference-video-id466325134_3
adult+female+speaking,getty-businesswoman-and-man-having-discussion-while-drinking-coffee-at-video-id846730756_1
adult+female+speaking,getty-businesswoman-giving-a-speech-video-id143919480_5
adult+female+speaking,getty-businesswoman-having-a-video-call-video-id847357742_14
adult+female+speaking,getty-businesswoman-in-discussion-with-coworker-at-office-workstation-video-id635748458_1
adult+female+speaking,getty-businesswoman-leading-discussion-during-meeting-in-office-conference-video-id638478988_5
adult+female+speaking,getty-businesswoman-leading-discussion-during-meeting-in-office-conference-video-id638514912_3
adult+female+speaking,getty-businesswoman-leading-informal-meeting-in-office-video-id635763384_11
adult+female+speaking,getty-businesswoman-talkingon-mobile-in-office-video-id843927800_5
adult+female+speaking,getty-businesswomen-reviewing-paperwork-at-computer-in-office-video-id473327745_8
adult+female+speaking,getty-businesswomen-talking-on-a-bench-in-the-streets-of-london-video-id853979284_1
adult+female+speaking,getty-camera-pans-from-digital-graphic-on-computer-screen-to-3d-printer-video-id675088170_12
adult+female+speaking,getty-carolina-martinez-honoree-childrens-champion-award-on-the-work-she-video-id538920816_2
adult+female+speaking,getty-casually-dressed-doctor-reviewing-digital-patient-records-with-senior-video-id186376523_21
adult+female+speaking,getty-caucasian-grandmother-teaching-granddaughter-sewing-in-fabric-store-video-id461953912_14
adult+female+speaking,getty-caucasian-women-talking-on-log-video-id500853642_13
adult+female+speaking,getty-close-up-of-business-people-talking-video-id519809088_11
adult+female+speaking,getty-close-up-of-businesswoman-and-businessman-talking-video-id519804704_3
adult+female+speaking,getty-close-up-of-middle-eastern-female-business-executive-telling-funny-video-id475780288_6
adult+female+speaking,getty-close-up-of-woman-driving-car-and-talking-on-cell-phone-provo-utah-video-id738712625_5
adult+female+speaking,getty-close-up-of-woman-talking-on-cell-phone-milan-italy-video-id173081670_11
adult+female+speaking,getty-close-up-of-young-woman-talking-on-cell-phone-in-city-new-york-city-video-id474387963_1
adult+female+speaking,getty-close-up-tilt-down-tilt-up-zoom-out-female-doctor-looking-at-xray-and-video-id608-35_14
adult+female+speaking,getty-close-up-woman-whispering-into-other-womans-ear-divide-and-conquer-video-id562-123_6
adult+female+speaking,getty-colleagues-discussing-work-at-computer-video-id844239410_10
adult+female+speaking,getty-colleagues-having-project-discussion-in-office-video-id635763252_11
adult+female+speaking,getty-colleagues-having-project-discussion-in-office-video-id635887242_1
adult+female+speaking,getty-college-student-chats-between-classes-video-id473227907_2
adult+female+speaking,getty-conflict-kurdish-ypg-fighters-advance-against-isis-in-northern-syria-video-id845985166_263
adult+female+speaking,getty-couple-at-the-bar-video-id846640026_11
adult+female+speaking,getty-couple-having-a-first-date-in-the-restaurant-video-id166104761_2
adult+female+speaking,getty-couple-look-at-road-map-on-car-village-in-distance-video-id836589160_6
adult+female+speaking,getty-couple-look-at-road-map-on-car-village-in-distance-video-id836605812_1
adult+female+speaking,getty-couple-of-woman-friends-in-rome-video-id849575296_12
adult+female+speaking,getty-couple-of-woman-friends-walking-in-rome-video-id849250484_4
adult+female+speaking,getty-couple-talk-and-laugh-together-maringa-brazil-video-id584918838_1
adult+female+speaking,getty-couple-walk-along-shoreline-of-mountain-lake-video-id823264340_3
adult+female+speaking,getty-coworkers-discussing-project-at-office-workstation-video-id635906904_4
adult+female+speaking,getty-coworkers-in-discussion-in-office-video-id635675434_3
adult+female+speaking,getty-creative-business-people-reviewing-proofs-in-meeting-video-id478017520_9
adult+female+speaking,getty-creative-business-team-talking-at-meeting-video-id494770612_10
adult+female+speaking,getty-creative-professionals-chat-on-the-stairs-of-modern-office-space-video-id494620020_10
adult+female+speaking,getty-creative-team-at-work-the-briefing-video-id471599050_2
adult+female+speaking,getty-creative-team-put-notes-on-the-wall-video-id461713330_5
adult+female+speaking,getty-customer-service-video-id482802949_4
adult+female+speaking,getty-customer-support-operators-working-video-id479563160_2
adult+female+speaking,getty-david-cameron-announces-plans-to-help-more-muslim-women-speak-english-video-id838468974_80
adult+female+speaking,getty-dentist-informing-patient-via-digital-tablet-video-id460454688_13
adult+female+speaking,getty-dentist-showing-female-patient-xrays-on-tablet-video-id469851571_4
adult+female+speaking,getty-dentist-showing-female-patient-xrays-video-id499228407_18
adult+female+speaking,getty-desperate-woman-talks-with-counselor-about-issues-video-id849286128_2
adult+female+speaking,getty-diverse-group-of-adult-college-students-studying-together-in-library-video-id469947694_8
adult+female+speaking,getty-diverse-group-of-business-women-having-a-conversation-video-id468619884_17
adult+female+speaking,getty-diverse-teen-girls-texting-on-smart-phone-in-high-school-hallway-video-id469947750_4
adult+female+speaking,getty-doctor-discussing-medical-records-with-senior-patient-richmond-usa-video-id143924168_7
adult+female+speaking,getty-doctor-talking-to-senior-patient-in-wheelchair-taking-notes-on-pad-video-id139235560_12
adult+female+speaking,getty-doctor-talking-with-patient-in-examination-room-video-id547299410_1
adult+female+speaking,getty-doctors-discussing-in-meeting-room-video-id459779687_6
adult+female+speaking,getty-dolly-two-teenage-girls-talking-together-video-id469977184_4
adult+female+speaking,getty-dollymature-women-talking-on-phone-video-id459436338_6
adult+female+speaking,getty-drinking-wine-cheers-video-id459341267_2
adult+female+speaking,getty-edgy-people-in-grunge-style-clothing-smoking-and-chatting-video-id841491486_13
adult+female+speaking,getty-educator-and-children-sitting-in-circle-on-round-carpet-potsdam-video-id136210060_7
adult+female+speaking,getty-employees-celebrating-diwali-festival-in-the-office-delhi-india-video-id846406656_2
adult+female+speaking,getty-estate-agent-talking-to-camera-and-offering-key-video-id482633721_7
adult+female+speaking,getty-everyday-life-at-home-female-friendship-video-id504117372_3
adult+female+speaking,getty-exterior-shots-people-standing-listening-to-speeches-at-patriotic-video-id450033658_35
adult+female+speaking,getty-family-looks-at-a-figurine-on-a-market-stall-during-the-maha-kumbh-video-id1B012384_118_9
adult+female+speaking,getty-family-of-jewish-woman-with-leukaemia-appeal-for-bone-marrow-donors-video-id838703582_18
adult+female+speaking,getty-female-bald-cancer-patient-and-doctor-looking-down-and-talking-in-video-id653934896_2
adult+female+speaking,getty-female-business-discussion-partnership-video-id845653712_9
adult+female+speaking,getty-female-office-workers-talking-by-computer-terminals-video-id500744238_21
adult+female+speaking,getty-four-girl-friends-with-spray-paint-talk-and-laugh-on-graffiti-wall-in-video-id687039096_2
adult+female+speaking,getty-four-teenage-girls-with-spray-paint-sit-and-lean-on-graffiti-wall-in-video-id687041496_8
adult+female+speaking,getty-friends-on-coffee-video-id851770340_3
adult+female+speaking,getty-friends-on-escalator-video-id512059009_14
adult+female+speaking,getty-friends-watching-sports-game-video-id842910296_15
adult+female+speaking,getty-girl-friends-sit-and-talk-and-fist-bump-on-graffiti-wall-in-urban-video-id687039984_1
adult+female+speaking,getty-girls-chatting-is-hard-to-stop-video-id163703092_18
adult+female+speaking,getty-grandmother-with-smart-phone-video-id512273225_2
adult+female+speaking,getty-group-of-freelance-workers-planning-and-communicating-on-a-meeting-at-video-id851487300_18
adult+female+speaking,getty-group-of-friends-drinking-and-having-a-barbecue-maringa-brazil-video-id527742390_22
adult+female+speaking,getty-group-of-friends-eating-in-a-restaurant-medellin-colombia-video-id514495422_7
adult+female+speaking,getty-group-of-friends-gather-around-smartphone-and-laugh-in-window-seat-of-video-id683702788_6
adult+female+speaking,getty-group-of-friends-lean-in-for-smartphone-selfie-in-window-seat-of-video-id683702462_1
adult+female+speaking,getty-group-of-people-socialising-in-an-apartment-rio-de-janeiro-brazil-video-id600646552_7
adult+female+speaking,getty-group-of-people-socialising-in-an-apartment-rio-de-janeiro-brazil-video-id600646580_4
adult+female+speaking,getty-group-of-people-socialising-in-an-apartment-rio-de-janeiro-brazil-video-id600646582_2
adult+female+speaking,getty-group-of-people-socialising-in-an-apartment-rio-de-janeiro-brazil-video-id600646590_5
adult+female+speaking,getty-happy-start-up-team-working-on-new-project-during-the-meeting-at-video-id849711900_9
adult+female+speaking,getty-hiking-trip-video-id474241886_7
adult+female+speaking,getty-husband-cooking-and-checks-recipe-on-ipad-mother-on-phone-while-on-video-id135936551_3
adult+female+speaking,getty-interview-jeanne-socrates-on-her-world-record-for-being-oldest-woman-video-id838903014_9
adult+female+speaking,getty-iraqi-refugee-nura-arkavazi-and-macedonian-border-police-bobi-tells-video-id637937524_138
adult+female+speaking,getty-ivanka-trump-speaking-with-the-german-chancelor-at-the-end-of-the-video-id674664092_9
adult+female+speaking,getty-laughing-businessman-and-businesswoman-in-team-meeting-in-office-video-id635790794_2
adult+female+speaking,getty-laughing-couple-sharing-meal-with-family-on-restaurant-deck-video-id696178034_5
adult+female+speaking,getty-laughing-mature-businesswoman-in-discussion-during-team-meeting-in-video-id635694100_1
adult+female+speaking,getty-laughing-mother-and-adult-daughters-standing-on-front-porch-of-home-video-id827832634_1
adult+female+speaking,getty-lisa-ling-presents-to-gwynne-shotwell-at-women-making-history-awards-video-id848494766_54
adult+female+speaking,getty-living-with-pets-hanging-out-on-the-steps-to-the-loft-video-id845745296_4
adult+female+speaking,getty-living-with-pets-hanging-out-on-the-steps-to-the-loft-video-id845748244_1
adult+female+speaking,getty-logan-browning-on-what-brings-her-out-why-its-important-to-have-like-video-id696127660_96
adult+female+speaking,getty-male-and-female-business-discussion-partnership-video-id845667036_1
adult+female+speaking,getty-man-and-woman-having-fight-video-id613958426_3
adult+female+speaking,getty-man-and-woman-sitting-together-in-back-seat-at-car-daytime-video-id731428625_20
